,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
328,2021-04-12 09:49,Maninder Buttar,Sakhiyaan,179325,Maninder Buttar:Sakhiyaan,0,,
329,2021-04-12 09:52,Bohemia,Ek Din,217810,Bohemia:Ek Din,0,,
330,2021-04-12 09:55,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
331,2021-04-12 09:55,Maninder Buttar,Sakhiyaan,2515,Maninder Buttar:Sakhiyaan,0,,
332,2021-04-12 09:57,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
333,2021-04-12 10:21,Maninder Buttar,Sakhiyaan,2895,Maninder Buttar:Sakhiyaan,0,,
334,2021-04-15 16:55,Dua Lipa,New Rules,37090,Dua Lipa:New Rules,0,,
335,2021-04-16 07:58,Dua Lipa,Levitating,153120,Dua Lipa:Levitating,1,Future Nostalgia,39LLxExYz6ewLAcYrzQQyP
336,2021-04-17 07:35,Dua Lipa,Levitating,202476,Dua Lipa:Levitating,1,Future Nostalgia,39LLxExYz6ewLAcYrzQQyP
337,2021-04-17 07:48,Dua Lipa,Levitating,115775,Dua Lipa:Levitating,1,Future Nostalgia,39LLxExYz6ewLAcYrzQQyP
338,2021-04-17 18:03,Dua Lipa,New Rules,510,Dua Lipa:New Rules,0,,
339,2021-04-23 11:46,KR$NA,Untitled,3304,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
340,2021-04-27 13:53,Mitra.,tere bina,6070,Mitra.:tere bina,0,,
341,2021-05-01 10:12,Sunidhi Chauhan,Cash,201650,Sunidhi Chauhan:Cash,0,,
342,2021-05-09 13:28,Yo Yo Honey Singh,Desi Kalakaar,253352,Yo Yo Honey Singh:Desi Kalakaar,0,,
343,2021-05-09 13:32,Yo Yo Honey Singh,Desi Kalakaar,253352,Yo Yo Honey Singh:Desi Kalakaar,0,,
344,2021-05-09 13:36,Yo Yo Honey Singh,Desi Kalakaar,229470,Yo Yo Honey Singh:Desi Kalakaar,0,,
345,2021-05-13 12:58,Yo Yo Honey Singh,Desi Kalakaar,250255,Yo Yo Honey Singh:Desi Kalakaar,0,,
346,2021-05-13 13:02,Yo Yo Honey Singh,Desi Kalakaar,240665,Yo Yo Honey Singh:Desi Kalakaar,0,,
347,2021-05-19 07:16,Dua Lipa,Levitating (feat. DaBaby),147020,Dua Lipa:Levitating (feat. DaBaby),1,Future Nostalgia,5nujrmhLynf4yMoMtj8AQF
348,2021-05-19 07:19,Dua Lipa,Levitating,183329,Dua Lipa:Levitating,1,Future Nostalgia,39LLxExYz6ewLAcYrzQQyP
349,2021-05-19 07:44,KR$NA,Untitled,131980,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
350,2021-05-19 07:45,AP Dhillon,Brown Munde,62160,AP Dhillon:Brown Munde,0,,
351,2021-05-19 07:45,Lucky Ali,O Sanam,5160,Lucky Ali:O Sanam,0,,
352,2021-05-19 07:45,Coldplay,Hymn for the Weekend,3080,Coldplay:Hymn for the Weekend,1,A Head Full of Dreams,3RiPr603aXAoi4GHyXx0uy
353,2021-05-19 07:45,AP Dhillon,Toxic,9210,AP Dhillon:Toxic,0,,
354,2021-05-19 09:27,Dj Chetas,Atif Mashup,148730,Dj Chetas:Atif Mashup,0,,
355,2021-05-19 10:24,Udit Narayan,Sona Kitna Sona Hai,3700,Udit Narayan:Sona Kitna Sona Hai,0,,
356,2021-05-19 10:26,Sunil Kamath,Kinna Sona,137180,Sunil Kamath:Kinna Sona,0,,
357,2021-05-21 08:37,Sunil Kamath,Kinna Sona,232280,Sunil Kamath:Kinna Sona,0,,
358,2021-05-21 08:38,A.R. Rahman,Naane Varugiraen,40880,A.R. Rahman:Naane Varugiraen,0,,
359,2021-05-21 09:20,Danny Zee,Udh Chaliye,178460,Danny Zee:Udh Chaliye,0,,
360,2021-05-21 09:22,The Kid LAROI,Blessings,3270,The Kid LAROI:Blessings,0,,
361,2021-05-21 09:39,Ayushmann Khurrana,"Pani Da Rang Male (From ""Vicky Donor"")",920,"Ayushmann Khurrana:Pani Da Rang Male (From ""Vicky Donor"")",0,,
362,2021-05-21 09:40,King,Tu Aake Dekhle,62570,King:Tu Aake Dekhle,0,,
363,2021-05-21 16:54,Sunil Kamath,Kinna Sona,1010,Sunil Kamath:Kinna Sona,0,,
364,2021-05-21 17:14,Dj Chetas,Atif Mashup,4320,Dj Chetas:Atif Mashup,0,,
365,2021-05-21 17:14,Ajey Nagar (CarryMinati),Yalgaar,1530,Ajey Nagar (CarryMinati):Yalgaar,0,,
366,2021-05-21 17:16,Gajendra Verma,Tera Ghata,42660,Gajendra Verma:Tera Ghata,0,,
367,2021-05-21 17:16,Vilen,Ek Raat,101980,Vilen:Ek Raat,0,,
368,2021-05-21 17:19,KR$NA,Untitled,97300,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
369,2021-05-21 17:21,DIVINE,Mirchi,110010,DIVINE:Mirchi,0,,
370,2021-05-31 16:23,Palak Muchhal,Chahun Main Ya Naa,6550,Palak Muchhal:Chahun Main Ya Naa,1,Aashiqui 2,6UgcN95w7vQxkR8sEFmwHG
371,2021-06-06 20:06,Lady Gaga,Sour Candy (with BLACKPINK),970,Lady Gaga:Sour Candy (with BLACKPINK),0,,
372,2021-06-10 07:54,Lady Gaga,Sour Candy (with BLACKPINK),4230,Lady Gaga:Sour Candy (with BLACKPINK),0,,
373,2021-06-10 08:04,A.R. Rahman,Fanaa,87510,A.R. Rahman:Fanaa,0,,
374,2021-06-10 16:39,TWICE,Feel Special,8840,TWICE:Feel Special,0,,
375,2021-06-10 16:39,Yo Yo Honey Singh,Brown Rang,2000,Yo Yo Honey Singh:Brown Rang,0,,
376,2021-06-24 06:38,fun.,We Are Young (feat. Janelle Monáe),159672,fun.:We Are Young (feat. Janelle Monáe),0,,
377,2021-06-24 07:35,American Authors,Best Day Of My Life,163940,American Authors:Best Day Of My Life,0,,
378,2021-06-25 15:44,Kshitij Tarey,Aye Khuda,26110,Kshitij Tarey:Aye Khuda,1,Murder 2,1SdMHj6tJp2YZ5INflJR1T
379,2021-06-25 15:45,Arijit Singh,Uska Hi Banana,61500,Arijit Singh:Uska Hi Banana,0,,
380,2021-06-25 15:48,Kshitij Tarey,Aye Khuda,182760,Kshitij Tarey:Aye Khuda,1,Murder 2,1SdMHj6tJp2YZ5INflJR1T
381,2021-06-27 08:00,Arijit Singh,Uska Hi Banana,15548,Arijit Singh:Uska Hi Banana,0,,
382,2021-06-27 08:07,Kshitij Tarey,Aye Khuda,410459,Kshitij Tarey:Aye Khuda,1,Murder 2,1SdMHj6tJp2YZ5INflJR1T
383,2021-06-27 11:09,Yo Yo Honey Singh,Dope Shope,133780,Yo Yo Honey Singh:Dope Shope,0,,
384,2021-06-27 11:12,KR$NA,Untitled,151384,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
385,2021-06-27 11:13,Maninder Buttar,Sakhiyaan,106285,Maninder Buttar:Sakhiyaan,0,,
386,2021-06-27 11:14,Bohemia,Ek Din,13750,Bohemia:Ek Din,0,,
387,2021-06-27 11:17,KR$NA,Roll Up,188160,KR$NA:Roll Up,1,Roll Up,2HBnruSUjUJhqNePQXObRK
388,2021-06-27 11:23,Pritam,In Dino,93130,Pritam:In Dino,0,,
389,2021-06-27 11:26,King,Tu Aake Dekhle,150560,King:Tu Aake Dekhle,0,,
390,2021-06-27 11:30,fun.,We Are Young (feat. Janelle Monáe),250626,fun.:We Are Young (feat. Janelle Monáe),0,,
391,2021-06-27 11:32,Kshitij Tarey,Aye Khuda,91345,Kshitij Tarey:Aye Khuda,1,Murder 2,1SdMHj6tJp2YZ5INflJR1T
392,2021-06-30 12:05,fun.,We Are Young (feat. Janelle Monáe),250626,fun.:We Are Young (feat. Janelle Monáe),0,,
393,2021-06-30 12:12,Kshitij Tarey,Aye Khuda,410459,Kshitij Tarey:Aye Khuda,1,Murder 2,1SdMHj6tJp2YZ5INflJR1T
394,2021-06-30 12:17,Arijit Singh,Uska Hi Banana,327029,Arijit Singh:Uska Hi Banana,0,,
395,2021-06-30 12:21,Yo Yo Honey Singh,Dope Shope,211764,Yo Yo Honey Singh:Dope Shope,0,,
396,2021-06-30 12:25,AP Dhillon,Brown Munde,254400,AP Dhillon:Brown Munde,0,,
397,2021-06-30 12:30,King,Tu Aake Dekhle,270000,King:Tu Aake Dekhle,0,,
398,2021-06-30 12:33,Ritviz,Pran,221538,Ritviz:Pran,0,,
399,2021-06-30 12:58,Dino James,Dooriyan (feat. Kaprila),155723,Dino James:Dooriyan (feat. Kaprila),0,,
400,2021-07-03 18:17,Dino James,Dooriyan (feat. Kaprila),15000,Dino James:Dooriyan (feat. Kaprila),0,,
401,2021-07-05 17:56,Dino James,Dooriyan (feat. Kaprila),860,Dino James:Dooriyan (feat. Kaprila),0,,
402,2021-07-10 11:27,Dino James,Dooriyan (feat. Kaprila),21258,Dino James:Dooriyan (feat. Kaprila),0,,
403,2021-07-10 11:44,Pritam,"Aabaad Barbaad (From ""Ludo"")",200411,"Pritam:Aabaad Barbaad (From ""Ludo"")",1,"Aabaad Barbaad (From ""Ludo"")",0hFUtSsV2itYEUTZGj6w5H
404,2021-07-16 07:37,King,Tum Saath Rehnaa,5900,King:Tum Saath Rehnaa,0,,
405,2021-07-17 14:29,King,Tum Saath Rehnaa,3220,King:Tum Saath Rehnaa,0,,
406,2021-07-17 14:30,Pritam,Kya Mujhe Pyar Hai (Remix),27150,Pritam:Kya Mujhe Pyar Hai (Remix),0,,
407,2021-07-17 16:06,KR$NA,Untitled,127870,KR$NA:Untitled,1,Untitled,2Yrl9A9VQg7QoCxeR9ktnn
